date,btc_price_usd_open,btc_price_usd_high,btc_price_usd_low,btc_price_usd_close,btc_open_interest,btc_funding_rates,eth_price_usd_open,eth_price_usd_high,eth_price_usd_low,eth_price_usd_close,eth_open_interest,eth_funding_rates,btc_mpi,btc_estimated_leverage_ratio,btc_stablecoin_supply_ratio,btc_reserve,btc_reserve_usd,btc_netflow_total,eth_reserve,eth_reserve_usd,eth_netflow_total
4/5/2021,58225.905,59237.69167,56829.49333,59151.21333,8159692693,0.05252993,2076.876667,2130.493333,2003.478333,2108.49,2748817274,0.07573887,-0.364815447,0.1502704,28.62310063,2388938.709,1.41309E+11,-8398.718552,20615828.56,43468268350,-314933.4223
4/4/2021,56945.78333,58488.09833,56457.845,58210.42833,8064921960,0.03068907,2006.05,2091.888333,1980.118333,2076.811667,2684017993,0.05999774,-0.536470322,0.15135462,28.1775719,2397337.428,1.3955E+11,-5263.573888,20930761.98,43469250667,-8976.926105
4/3/2021,58987.935,59809.61667,56931.39333,57057.49333,8136365324,0.08486571,2134.786667,2137.923333,2001.233333,2008.525,2680252164,0.11653321,-0.46769105,0.15512186,27.79306326,2402601.002,1.37086E+11,4012.025093,20939738.9,42057989081,-112180.5875
4/2/2021,58745.01333,60164.215,58472.33667,58975.11833,8152194250,0.10699698,1968.218333,2145.01,1950.006667,2134.028333,2656950555,0.12358942,-0.123383134,0.15154058,28.72431115,2398588.976,1.41457E+11,1552.889755,21051919.49,44925392665,161339.5554
4/1/2021,58777.005,59485.95667,57939.22,58755.62167,7799861988,0.09177366,1923.781667,1983.67,1885.695,1969.02,2365172736,0.11148183,0.050080033,0.14568743,28.72937723,2397036.087,1.40839E+11,-9886.370315,20890579.94,41133969705,-62168.36513
3/31/2021,58768.04,59800.35,56878.97,58759.29167,7861543568,0.08204735,1841.646667,1946.985,1771.848333,1921.303333,2273758647,0.07676837,-0.273717616,0.14714164,28.90829681,2406922.457,1.41429E+11,4369.737785,20952748.3,40256585153,-93171.1096
3/30/2021,57643.42667,59372.33333,57062.48833,58758.69167,7931457595,0.08604091,1818.648333,1858.378333,1787.318333,1841.173333,2124625589,0.07257917,0.367580042,0.14894592,28.89691934,2402552.719,1.41171E+11,5021.890724,21045919.41,38749185594,-101200.568
3/29/2021,55790.00667,58395.03167,54920.27,57635.725,7147218061,0.04235186,1686.975,1840.678333,1677.856667,1817.268333,2105916328,0.06427129,-0.233175169,0.13687951,28.44807796,2397530.828,1.38183E+11,966.7775611,21147119.98,38429991478,-19006.93365
3/28/2021,55857.96,56548.81667,54697.275,55785.155,6591659171,0.01461262,1713.951667,1725.763333,1662.03,1686.905,1926347476,0.04335259,-0.545141576,0.13036787,27.46631102,2396564.051,1.33693E+11,2478.074076,21166126.91,35705245318,48694.8727
3/27/2021,55119.01167,56641.05167,53985.09333,55832.115,6849669386,0.0060434,1701.971667,1732.55,1667.051667,1713.448333,1951265385,0.0170263,-0.360687545,0.13632278,27.58335664,2394085.977,1.33667E+11,1284.918776,21117432.04,36183628732,-35519.96829
3/26/2021,51326.39167,55078.78667,51273.97333,55049.45667,6765724757,0.00832263,1587.34,1701.211667,1587.188333,1700.676667,1945755096,0.01782885,-0.535375601,0.13621449,27.30183454,2392801.058,1.31722E+11,-1994.976051,21152952.01,35974331910,175474.4245
3/25/2021,52301.16333,53220.15,50468.85833,51297.88833,6539045923,0.01164343,1581.75,1622.02,1549.033333,1586.275,1917138042,0.02190799,-0.15125796,0.14073121,25.6691589,2394796.034,1.22848E+11,-7386.93161,20977477.58,33276048253,-364789.6347
3/24/2021,54326.01167,57182.505,51748.50167,52291.50667,6723411448,0.02851367,1667.288333,1740.385,1544.731667,1581.778333,1952478260,0.0252644,0.132928823,0.14227793,26.26763479,2402182.966,1.25614E+11,267.9402009,21342267.22,33758735869,-45142.00571
3/23/2021,54136.31667,55845.25667,53015.26833,54344.26,6963907311,0.01080956,1682.106667,1720.968333,1651.741667,1668.031667,2095526500,0.0085795,-0.324234577,0.14256194,27.46287888,2401915.026,1.3053E+11,-27117.13973,21387409.22,35674875853,59750.75382
3/22/2021,57366.315,58405.09333,53678.82,54083.77333,7137469086,0.03138961,1784.338333,1807.15,1655.36,1681.038333,2127110554,0.02177053,-0.298595941,0.14733505,27.46279141,2429032.165,1.31371E+11,-4153.717743,21327658.47,35852611448,-69870.906
3/21/2021,58088.285,58589.85167,55471.23167,57363.605,7254200198,0.02069843,1804.22,1816.655,1747.635,1783.833333,2170761459,0.02606219,-0.275613525,0.14117571,29.19478841,2433185.883,1.39576E+11,-6001.089751,21397529.38,38169626151,-50935.43534
3/20/2021,58032.47167,59891.85,57860.365,58096.26167,7392284848,0.03472102,1809.741667,1868.86,1801.131667,1805.385,2293209333,0.0632763,-0.431872947,0.1412073,29.67338797,2439186.973,1.41708E+11,26.39669779,21448464.81,38722736643,37777.30965
3/19/2021,57613.72833,59450.05167,56284.795,58034.16833,7125686741,0.01609906,1774.896667,1840.44,1734.113333,1809.65,2191077156,0.01983812,-0.204500901,0.13583026,29.7999765,2439160.576,1.41555E+11,4424.442904,21410687.5,38745850637,-39453.03858
3/18/2021,59016.35667,60107.27667,57021.494,57644.70333,7361058585,0.04703872,1825.465,1849.703333,1760.228,1776.21,2299128272,0.0641255,0.028018483,0.14210101,29.8586778,2434736.133,1.4035E+11,1885.869708,21450140.54,38099954128,-130414.0126
3/17/2021,56973.44833,58988.14167,54197.53,58935.63167,7134107694,0.01277819,1807.31,1839.36,1742.591667,1824.148333,2187450851,0.02009856,-0.131420936,0.13545663,30.68968161,2432850.263,1.43382E+11,-1751.965161,21580554.55,39366132619,-17565.27734
3/16/2021,55526.435,56936.81,53279.01333,56917.055,7091149128,0.01942527,1793.048333,1819.063333,1713.666667,1805.725,2119884244,0.014139,-0.077573627,0.13873402,29.78712328,2434602.229,1.3857E+11,-664.3404664,21598119.83,39000264930,97549.62651
3/15/2021,59052.91667,60616.43167,54789.25,55634.99167,7394919805,0.05014433,1850.441667,1890.973333,1736.963333,1794.825,2247169647,0.06835901,0.131633086,0.14771752,29.32877022,2435266.569,1.35486E+11,-5221.707664,21500570.2,38589760915,-343395.3434
3/14/2021,61169.135,61698.08833,58969.365,59004.26,8191271405,0.10269893,1920.895,1932.306667,1837.811667,1849.115,2379996562,0.11857894,-0.2341432,0.15403331,31.43843926,2440488.277,1.43999E+11,26698.62735,21843965.55,40392004352,-21876.50506
3/13/2021,57215.48,61804.91333,56089.52667,61188.835,8550766272,0.08895706,1766.215,1944.033333,1728.946667,1921.736667,2347846420,0.07327894,-0.115277648,0.15632276,32.66874089,2413789.649,1.47697E+11,2831.999298,21865842.05,42020390418,30190.88907
